transaction_id,account_ref,merchant_name,mcc_category,amount,transaction_date,transaction_time,channel,status
TXN9007339,ACC100127,Costco,  Travel   ,1635.59,26/05/2025,04:42:51,Mobile,APPROVED
TXN9007106,acc100404,Shell Gas,Fuel,794.0,25/11/2025,06:28:20,ATM,Approved
TXN9013732,ACC-100421,Apple Store,Dining,712.50,"Feb 25, 2026",08:25:33,Mobile,Approved
TXN9004566,ACC-101109,Best Buy,Entertainment,379.8,2026-02-06,16:38:02,-,Approved
TXN9004839,ACC100011,Best Buy,Groceries,768.78,10-08-2024,09:07:31,POS,Approved
TXN9012995,ACC-100800,Amazon,Transfer,2118.6,20251104,20:50:26,ATM,Approved
TXN9010337,ACC948300,Best Buy,Fuel,152.86,06/15/2026,13:06:20,Mobile,  Approved   
TXN9005855,ACC100151,Amazon,Cash,1451.26,2026-06-12,22:36:17,POS,Approved
TXN9001736,ACC-100874,amazon,Fuel,1902.3,20251014,11:14:35,POS,Approved
TXN9005755,ACC-100494,Costco,Utilities,1418.89,16-11-2025,20:17:08,ATM,Approved
TXN9007810,ACC-101167,bEST bUY,Fuel,955.74,20250405,15:51:08,ATM,Approved
TXN9001464,ACC100072,Payroll Deposit,Travel,1256.4,18/08/2025,22:53:50,UNKNOWN,Approved
TXN9006769,ACC-100379,Netflix,Fuel,1630.25,17/01/2026,08:37:11,   mobile   ,Approved
TXN9010918,ACC-100915,Netflix,Groceries,587.87,05/20/2025,23:02:59,ATM,Approved
TXN9006379,ACC-925557,Starbucks,Entertainment,2092.52,17-08-2025,10:42:20,POS,Approved
TXN9007049,ACC-101078,Starbucks,Utilities,1744.65,"Jul 22, 2026",16:17:17,Online,Approved
TXN9001199,ACC100592,CVS Pharmacy,Travel,777.62,25-05-2025,03:52:19,Mobile,Approved
TXN9010805,ACC-101259,Netflix,Travel,1779.79,13-07-2025,18:44:50,Online,Declined
TXN9012967,ACC-100817,Home Depot,Cash,665.74,20240821,08:43:30,ATM,Approved
TXN9001577,ACC966070,Shell Gas,Fuel,2031.24,06-03-2025,16:36:19,ATM,Approved
TXN9001459,ACC100570,Delta Airlines,Travel,973.27 usd,20260323,09:51:57,Mobile,Approved
TXN9001814,ACC100330,ATM Withdrawal,  Transfer   ,2250.33,29-09-2025,08:18:58,Mobile,Approved
TXN9001712,ACC-100216,Uber,Retail,634.43,20251022,21:13:55,Mobile,Approved
TXN9006133,ACC-100594,Wire Transfer,Dining,364.61,09/30/2025,null,POS,Approved
TXN9002799,ACC101240,Starbucks,Travel,"$2,224.06",17/11/2025,11:40:37,ATM,Reversed
TXN9012610,ACC100084,Uber,Cash,931.99,04/29/2026,02:51:05,Mobile,Pending
TXN9001414,ACC100009,Delta Airlines,Entertainment,2389.79,12/29/2025,12:27:19,Mobile,Reversed
TXN9001309,ACC-100695,CVS Pharmacy,unknown,303.98,20251022,07:07:20,ATM,Pending
TXN9006431,ACC-101053,   APPLE STORE   ,Retail,1584.9,2025-11-02,NULL,Mobile,Approved
TXN9005973,ACC100463,Costco,Transfer,1740.14,"Oct 03, 2025",11:59:16,POS,Declined
TXN9010436,ACC101057,Home Depot,Utilities,1530.98,08/10/2025,16:09:10,POS,Approved
TXN9009149,ACC949124,ATM Withdrawal,Retail,2408.83,2025-05-04,07:11:02,Mobile,   Pending   
TXN9000560,ACC-100731,Payroll Deposit,Groceries,1970.72,2025-02-26,00:36:52,atm,Reversed
TXN9002707,ACC100035,Shell Gas,Utilities,327.31,"Apr 24, 2026",12:14:33,ATM,Approved
