account_id,customer_id,branch_id,account_type,currency,open_date,close_date,status,balance
ACC-100963,500290,BR101,Money Market,USD,"Feb 05, 2017",28/08/2025,Closed,56147.98
ACC-100104,500446,BR106,CD,USD,20231031,,Active,60037.58
ACC-100582,500043,BR107,Savings,USD,30-04-2025,,Active,1277.95
ACC-100736,500115,BR117,Checking,US$,"Feb 28, 2024",,Dormant,4506.23
ACC-100074,500513,BR110,Checking,USD,03/02/2024,,aCTIVE,38910.45
ACC-100085,500382,BR116,Money Market,USD,15/10/2018,2025-06-14,Closed,60282.3
ACC-100072,500131,BR105,Savings,USD,06/02/2019,,Dormant,75321.31
ACC-100865,500647,BR111,Money Market,US$,06/25/2023,,   Active   ,13995.9
ACC-100637,500072,BR112,Money Market,USD,"Jun 30, 2026",,Active,18602.63
ACC-100711,500434,BR112,Money Market,US$,02/07/2018,,Active,41969.87
ACC-100561,500178,BR112,Savings,USD,"Dec 28, 2019",,Active,31139.54
ACC-100951,500389,BR112,Savings,USD,2026-04-22,,active,2222.01
ACC-101028,500292,BR104,Savings,USD,"Feb 09, 2017",,Active,55460.75
ACC-100812,500562,BR105,CD,USD,20200928,07-07-2024,Closed,NULL
ACC-101279,500209,BR108,Checking,USD,"May 05, 2023",,   Active   ,77662.42
ACC-100475,500320,BR110,Savings,USD,20260616,,Frozen,72451.33
ACC-100407,500501,BR108,money market,USD,04/10/2023,,Frozen,65080.58
ACC-100653,500288,BR110,Checking,USD,06-03-2019,,Active,10903.42
ACC-101182,500728,BR104,cHECKING,USD,"May 24, 2023",20230813,closed,29863.13
ACC-100804,500041,BR106,Checking,usd,20170825,,Active,84953.67
ACC-100977,500668,BR102,CD,USD,"Dec 26, 2020",,Dormant,74549.57
ACC-101024,500100,BR116,Checking,USD,08/19/2024,,Active,N/A
ACC-100777,500319,BR111,Savings,USD,2022-05-22,,Active,6926.65
ACC-100505,500213,BR105,Savings,USD,12/06/2025,,Active,82483.62
ACC-100756,500503,BR115,   Savings   ,USD,2018-04-06,,DORMANT,35520.31
ACC-100233,500500,BR113,Checking,USD,06/26/2023,,Active,42358.84
ACC-100733,500738,BR111,SAVINGS,USD,2020-03-14,,Active,n/a
ACC-100180,500098,BR110,Savings,USD,25/08/2017,,Dormant,79166.58
ACC-100453,500215,BR106,Checking,USD,2024-03-25,"Mar 29, 2025",Closed,69301.34
ACC-100993,500681,BR100,Checking,USD,20250831,,Active,10218.45
ACC-101128,500648,BR108,Savings,USD,04/11/2020,,Active,35512.69
ACC-100764,500494,BR116,Checking,USD,"May 29, 2019",,Active,26327.17
ACC-100318,500455,BR110,Savings,usd,03-11-2022,,Active,81218.11
ACC-100684,500364,BR107,Savings,USD,2021-01-04,,Active,19499.99
ACC-100558,500035,BR103,CD,USD,"Dec 17, 2021",,Active,16014.05
ACC-101242,500556,BR102,CD,USD,"Sep 19, 2022",,Active,1051.77
ACC-100286,500181,BR101,Checking,USD,21/11/2019,,Active,37188.24
ACC-100632,500184,BR109,CD,usd,"Jan 13, 2023",,aCTIVE,18954.9
ACC-100920,500256,BR108,Money Market,USD,2018-11-12,,Dormant,32334.9
ACC-100287,500600,BR117,cd,USD,20240211,,Active,13996.95
ACC-100981,500386,BR113,Money Market,USD,30/11/2019,,Active,58421.65
ACC-100679,500186,BR114,Money Market,USD,05/17/2017,,Active,27739.65
ACC-100868,500466,BR105,Savings,USD,-,,Active,58393.83 usd
ACC-101233,500492,BR109,Savings,USD,11/19/2022,,Dormant,35353.52
